,BrandName,ProductName,ProductMRP,ProductSellingPrice,ProductRating,ProductRatingCount,Category,CategoryByGender,UserSatisfactionLevel
203,Red Tape,Men Textured Sneakers, 6999, 1399,4.2,106,Casual Shoe,Men,Great Product
204,GULLY LABS,Men Sneakers,0,0,4.3,0,Casual Shoe,Men,Great Product
205,Red Tape,Men Round Toe Sneakers, 7199, 1295,4.4,1600,Casual Shoe,Men,Great Product
206,HRX by Hrithik Roshan,Men Lace-Up Sneakers, 3699, 1117,3.9,109,Casual Shoe,Men,Good Choice
207,ADIDAS Originals,Men Campus 00S Sneakers, 10999, 6599,4.3,108,Casual Shoe,Men,Great Product
208,Red Tape,Men PU Sneakers, 6299, 1133,4.5,504,Casual Shoe,Men,Great Product
209,ASIAN,Men Colourblocked Sneakers, 1499, 869,3.8,2500,Casual Shoe,Men,Good Choice
210,Tommy Hilfiger,Men Leather Loafers, 9599, 7679,4.6,9,Casual Shoe,Men,Excellent
211,Red Tape,Men Colourblocked PU Sneakers, 6299, 1133,4.5,321,Casual Shoe,Men,Great Product
212,Red Tape,Men Round Toe Sneakers, 7199, 1295,4.4,1000,Casual Shoe,Men,Great Product
213,Converse,Unisex Chuck Taylor All Star,0,0,4.7,1400,Casual Shoe,Men,Excellent
214,Killer,Men Sneakers With Thick Sole, 2999, 699,3.8,8,Casual Shoe,Men,Good Choice
215,Red Tape,Men PU Lace-Ups Sneakers, 6599, 1187,4.4,520,Casual Shoe,Men,Great Product
216,Tommy Hilfiger,Men Leather SlipOn Espadrilles, 9599, 7679,3.8,6,Casual Shoe,Men,Good Choice
217,Mast & Harbour,Men Round Toe Suede Loafers, 2499, 974,4.2,2900,Casual Shoe,Men,Great Product
218,Red Tape,Men Lace Up High Top Sneakers, 6699, 1339,4.4,4300,Casual Shoe,Men,Great Product
219,Lacoste,Lace Ups Round Toe Sneakers, 11700, 7020,4.7,9,Casual Shoe,Men,Excellent
220,Red Tape,Men Colourblocked Sneakers, 7699, 1385,4.5,57,Casual Shoe,Men,Great Product
221,Red Tape,Men Colourblocked Sneakers, 7699, 1385,4.1,10,Casual Shoe,Men,Great Product
222,Tommy Hilfiger,Square Toe Leather Loafers, 9599, 7679,4.3,6,Casual Shoe,Men,Great Product
223,Red Tape,Men PU Sneakers, 7099, 1277,4.3,551,Casual Shoe,Men,Great Product
224,Red Tape,Men Colourblocked Sneakers, 7699, 1385,4.6,178,Casual Shoe,Men,Excellent
225,U.S. Polo Assn.,Men Classic Sneakers, 3199, 1631,4.3,2200,Casual Shoe,Men,Great Product
226,Red Tape,Men Round Toe Sneakers, 7299, 1313,4.5,1600,Casual Shoe,Men,Great Product
227,Campus,Men PU Sneakers, 3299, 1599,4.4,260,Casual Shoe,Men,Great Product
228,ADIDAS Originals,Men Samba OG Casual Shoes,0,0,4.4,732,Casual Shoe,Men,Great Product
229,Red Tape,Men Round Toe Sneakers, 7299, 1313,4.5,451,Casual Shoe,Men,Great Product
230,Red Tape,Men Perforations Sneakers, 6699, 1339,4.4,4800,Casual Shoe,Men,Great Product
231,Egoss,Men Leather Loafers, 7999, 3999,3.1,14,Casual Shoe,Men,Average
232,Red Tape,Men Perforations PU Sneakers, 6699, 1339,4.3,4400,Casual Shoe,Men,Great Product
233,Red Tape,Men Round Toe Sneakers, 7099, 1277,4.4,2400,Casual Shoe,Men,Great Product
234,Converse,Unisex Chuck Taylor All Star,0,0,4.6,327,Casual Shoe,Men,Excellent
235,Red Tape,Men Colourblocked Sneakers, 6999, 1259,4.3,481,Casual Shoe,Men,Great Product
236,Red Tape,Men Textured Sneakers, 6699, 1205,4.4,392,Casual Shoe,Men,Great Product
237,Kenneth Cole,Premium Comfort Leather Shoes, 6299, 3149,4.0,21,Casual Shoe,Men,Good Choice
238,Red Tape,Men Round Toe Sneakers, 6399, 1151,4.4,1000,Casual Shoe,Men,Great Product
239,Red Tape,Men Colourblocked PU Sneakers, 6599, 1187,4.6,39,Casual Shoe,Men,Excellent
240,Lacoste,Round Toe Lace Ups Sneakers, 11700, 5850,4.4,18,Casual Shoe,Men,Great Product
241,Roadster,Men Lightweight Sneakers, 3299, 699,3.8,197,Casual Shoe,Men,Good Choice
242,Red Tape,Men Sneakers, 6599, 1187,4.4,3200,Casual Shoe,Men,Great Product
243,Converse,Unisex Run Star Hike Sneakers, 6999, 6299,4.5,113,Casual Shoe,Men,Great Product
244,Red Tape,Men Colourblocked Sneakers, 6699, 1205,4.4,5000,Casual Shoe,Men,Great Product
245,Flying Machine,Men Joell Sneakers, 3199, 1279,4.5,48,Casual Shoe,Men,Great Product
246,ADIDAS Originals,Men Leather Campus 00S Sneaker, 10999, 6049,4.1,50,Casual Shoe,Men,Great Product
247,Bata,Men Mario Horsebit Loafers, 999, 689,4.4,61,Casual Shoe,Men,Great Product
248,Campus,Men Perforations Sneakers, 1799, 999,4.2,1400,Casual Shoe,Men,Great Product
249,Converse,Unisex Sport Casual,0,0,4.3,9,Casual Shoe,Men,Great Product
250,Pepe Jeans,Men Mid-Rise Jeans, 2299, 1899,4.2,74,Jeans,Men,Great Product
251,Pepe Jeans,Men Stretchable Jeans, 2299, 1899,4.4,571,Jeans,Men,Great Product
252,Urbano Fashion,Men Slim Fit Jeans, 1399, 489,4.0,21800,Jeans,Men,Good Choice
253,Mast & Harbour,Men Slim Tapered Jeans, 2499, 724,3.7,3100,Jeans,Men,Good Choice
254,Calvin Klein Jeans,Men Slim Fit Jeans, 9999, 4999,4.3,0,Jeans,Men,Great Product
255,Roadster,Men Pure Cotton Jeans, 2499, 1149,3.6,726,Jeans,Men,Good Choice
256,HIGHLANDER,Men Slim Fit Jeans, 1299, 480,3.8,13400,Jeans,Men,Good Choice
257,WROGN,Men Cargo Anti Fit Jeans, 2999, 1709,4.1,19,Jeans,Men,Great Product
258,Urbano Fashion,Men Relaxed Fit Jeans, 2099, 734,4.0,3900,Jeans,Men,Good Choice
259,Marks & Spencer,Men Light Fade Cotton Jeans,0,0,4.3,0,Jeans,Men,Great Product
260,Flying Machine,Men Tapered Fit Jeans, 2399, 1559,4.2,43,Jeans,Men,Great Product
261,Thomas Scott,Men Bootcut Jeans, 3499, 999,4.0,332,Jeans,Men,Good Choice
262,Mast & Harbour,Men Relaxed Fit Jeans, 3399, 999,4.1,538,Jeans,Men,Great Product
263,Jack & Jones,Men Low-Rise Jeans, 6999, 3849,4.3,0,Jeans,Men,Great Product
264,HIGHLANDER,Men Relaxed Fit Mid-Rise Jeans, 2749, 604,3.5,162,Jeans,Men,Average
265,Urbano Fashion,Men Relaxed Fit Cotton Jeans, 2399, 839,4.0,369,Jeans,Men,Good Choice
266,Jack & Jones,Men Slim Fit Low-Rise Jeans, 3999, 1999,3.8,26,Jeans,Men,Good Choice
